epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.13233081996440887,0.0010000000474974513,0.07561293244361877,0.11133299767971039,0.36586979031562805
1,0.09375,0.0010000000474974513,0.06454731523990631,0.11133299767971039,0.38258102536201477
2,0.09674185514450073,0.0010000000474974513,0.06962526589632034,0.11133299767971039,0.4243963956832886
3,0.125,0.0010000000474974513,0.02199411392211914,0.11133299767971039,0.4243963956832886
4,0.07907268404960632,0.0010000000474974513,0.06595136225223541,0.011482776142656803,0.42455601692199707
5,0.09375,0.0010000000474974513,0.03344634920358658,0.011482776142656803,0.42455601692199707
6,0.061403509229421616,0.0010000000474974513,0.05808468908071518,0.6694957613945007,0.4245559871196747
7,0.09375,0.0010000000474974513,0.01961597055196762,0.6694957613945007,0.4245559871196747
8,0.057644110172986984,0.0010000000474974513,0.05345183610916138,0.0324513241648674,0.425097793340683
9,0.03125,0.0003000000142492354,0.03097410872578621,0.0324513241648674,0.425097793340683
10,0.05476190522313118,0.0003000000142492354,0.0521630235016346,0.0324513241648674,0.425097793340683
11,0.09375,0.0003000000142492354,0.04919710382819176,0.0324513241648674,0.425097793340683
12,0.033959899097681046,0.0003000000142492354,0.05204326659440994,0.11133299767971039,0.4243963956832886
13,0.0625,0.0003000000142492354,0.08027682453393936,0.11133299767971039,0.4243963956832886
14,0.032706767320632935,0.0003000000142492354,0.04969272017478943,0.10983524471521378,0.4244752824306488
15,0.03125,0.0003000000142492354,0.07086402177810669,0.10983524471521378,0.4244752824306488
16,0.0260651633143425,0.0003000000142492354,0.05143212899565697,0.011482776142656803,0.42455601692199707
17,0.0,9.000000136438757e-05,0.055235978215932846,0.011482776142656803,0.42455601692199707
18,0.023558897897601128,9.000000136438757e-05,0.05089888349175453,0.011482776142656803,0.42455601692199707
19,0.03125,9.000000136438757e-05,0.034153372049331665,0.011482776142656803,0.42455601692199707
20,0.02368421107530594,9.000000136438757e-05,0.05067884922027588,0.011482776142656803,0.42455601692199707
21,0.03125,9.000000136438757e-05,0.04709533229470253,0.011482776142656803,0.42455601692199707
22,0.022807016968727112,9.000000136438757e-05,0.050713490694761276,0.0324513241648674,0.425097793340683
23,0.0,9.000000136438757e-05,0.02452164702117443,0.0324513241648674,0.425097793340683
24,0.022180451080203056,9.000000136438757e-05,0.05047178268432617,0.011482776142656803,0.42455601692199707
25,0.03125,2.700000004551839e-05,0.10152173042297363,0.011482776142656803,0.42455601692199707
26,0.02393483743071556,2.700000004551839e-05,0.05050560086965561,0.011482776142656803,0.42455601692199707
